ticker,date,open,high,low,close,volume,log_return,high_low_pct,open_close_pct,gap_pct,sma_10,sma_20,ema_20,dist_sma_20,sma_20_50_cross,rolling_std_20,atr_14,parkinson_vol_20,bb_width_20,rsi_14,macd,macd_hist,momentum_10,vol_ma_ratio_20,obv,skewness_20,kurtosis_20,hurst_proxy_20,autocorr_lag1_20,market_return,rolling_beta_20,cluster_id
FDX,2015-03-16,118.74418359550931,120.95944167883854,118.74418359550931,120.86400604248047,2229705.0,0.022816434551437993,0.018328517775319665,0.01785201078996516,0.005135038844629426,118.37361145019531,119.66443405151367,118.92807010576735,0.010024465501171058,0.8294000244140562,0.010102621401614935,1.6577120411323827,0.007125747954198883,0.06084877730366237,49.33288342171546,-0.1802874316705072,-0.062042484279494964,0.4936065673828125,1.2855335623999757,-2158592.0,0.6762789776408528,0.18133761504336127,0.7646965266658602,-0.02961866566842269,0.013805034519268103,0.8572394004138981,0
FDX,2015-03-17,120.57092978386171,121.73649931626973,119.76663208007812,119.76663208007812,3376885.0,-0.009120879855864114,0.016447546380948908,-0.006670743148109459,-0.002424843162287254,118.35748519897462,119.54097023010254,119.00793315093979,0.001887736476643363,0.6587795257568416,0.009465388801175688,1.6641963491181488,0.007063824543888142,0.057473519204037,50.68070623605411,-0.08783778686407118,0.024325728421552853,-0.16126251220703125,1.8672137968188114,-5535477.0,0.8920981702827419,1.0543404407687325,0.5965081924716555,-0.16827476608773914,-0.00356894422988733,0.8410179140803066,0
FDX,2015-03-18,117.23782853598838,118.69649414881852,116.22222750472146,118.12393188476562,5267176.0,-0.013810773140572722,0.020946362048812717,0.007558169233999863,-0.021114424779006366,118.28125686645508,119.32720260620117,118.9237425541613,-0.010083792254023517,0.39462600708007756,0.009861836319844068,1.7933601181147663,0.007555151212996573,0.053819854310137846,47.43515241229146,-0.14544633956926134,-0.02662625942690984,-0.7622833251953125,2.6428017318177095,-10802653.0,0.9169009409694436,0.857670596949669,0.3908211900395336,-0.09476376917714922,0.011412940238267916,0.6233973899792237,0
FDX,2015-03-19,118.32164003186035,119.37132921962274,117.57867703077856,118.49885559082031,2601012.0,0.0031689595394651963,0.015128012669446937,0.0014977442748195654,0.0016737348980865412,118.2289031982422,119.17064628601074,118.8832771290812,-0.0056372161775622796,0.18004905700682627,0.00985870685712791,1.7536310163996285,0.007755069958872578,0.05100368522301194,42.53112960867136,-0.15901529360378674,-0.032156170769148174,-0.5235366821289062,1.289082665055339,-8201641.0,0.7706991326529999,0.6627344971520297,0.46420155873092966,-0.12019253562517748,-0.004101428821661666,0.5945470810006513,0
FDX,2015-03-20,118.6692184310472,118.83280395764424,117.15603294926314,117.26509857177734,3352686.0,-0.010466131564009886,0.014298977518974047,-0.01183221628755731,0.0014376749832517674,118.16414413452148,118.95750846862794,118.72916488552845,-0.014227011968350467,-0.0494133758544848,0.010067498049510886,1.7717623494785835,0.00785101288877215,0.049417254339734644,39.26300479029266,-0.26625346374135006,-0.11151547272536919,-0.6475906372070312,1.5990957990542387,-11554327.0,0.8383519720701255,0.5525440514242252,0.25203560043263695,-0.13865684753079072,0.01073322647291276,0.48561151732213703,0
FDX,2015-03-23,117.35371839468603,117.42869617768679,116.31084442138672,116.31084442138672,2176962.0,-0.008170871085776254,0.00961089880969358,-0.008886586530671578,0.0007557220689533575,118.00942001342773,118.70346870422364,118.49884865084829,-0.020156313111600113,-0.2462265777587902,0.010166714650088822,1.7553227337128559,0.007883012357496048,0.049395600116169135,37.9210239025324,-0.4233605838091563,-0.21489807423454033,-1.5472412109375,1.0143753758106158,-13731289.0,0.9145084024943962,0.5526234662703852,0.08426969587795945,-0.10580656511222035,-0.002315113259322891,0.49598895462232145,0
FDX,2015-03-24,116.07229349610805,116.21543408869131,115.30207061767578,115.30207061767578,1535613.0,-0.008710914780799703,0.007921483682325961,-0.00663571688959289,-0.0020509775031330576,117.95216598510743,118.4160099029541,118.19439360006996,-0.02629660708520184,-0.48869087219237883,0.010272663574019632,1.7427598162748998,0.007906451230331858,0.0521182647879546,38.00454778412905,-0.6220975700978073,-0.33090804841855304,-0.572540283203125,0.713449529471564,-15266902.0,0.9663566482260824,0.5282964739336633,0.0,-0.08946842124517876,-0.00536538476573854,0.5118417636993898,0
FDX,2015-03-25,115.69739180072148,115.73828173285573,112.70509547921056,112.75962829589844,2455194.0,-0.02229701581412581,0.026899576552492983,-0.025391786788324138,0.003428569677265557,117.53433837890626,118.0749584197998,117.67679690443458,-0.045016574171072306,-0.7351244354248081,0.010982326777384996,1.870908700753212,0.008416029038935843,0.0666492517481128,31.94738439096224,-0.9735296668464031,-0.545872116133719,-4.178276062011719,1.1225982268418861,-17722096.0,0.6463868783832597,0.39998223316275927,0.0,-0.0370830751281272,-0.014542163556511967,0.6372390836230741,0
FDX,2015-03-26,111.97578902900035,113.57758261478519,111.51227939201823,112.80054473876953,2175101.0,0.00036279847429979964,0.018309337311861573,0.0073654824569436336,-0.006951417619444176,116.98291549682617,117.7713550567627,117.212391936276,-0.04220729493326537,-0.959497756958001,0.010980486807291075,1.9109566656720358,0.008547531583636537,0.07748240093458339,34.296490537550184,-1.2345098592625874,-0.6454818468399226,-5.514228820800781,0.998530323429837,-15546995.0,0.5540519113988426,0.31766199038565174,0.00504868406928134,-0.0393643884107812,-0.00307750802445457,0.6359492459562142,0
FDX,2015-03-27,112.50060383623406,112.8891226715514,112.13252996404562,112.18704986572266,1138121.0,-0.005453601961122335,0.006744028908362584,-0.00278713144455627,-0.002659037713249432,116.3878662109375,117.35605850219727,116.73378792955664,-0.04404552012061124,-1.2662744140624937,0.010307807796896612,1.8900212394554887,0.008486101105379085,0.08537572662591209,33.15797507597166,-1.47385279351532,-0.7078598248741241,-5.950492858886719,0.5454950719784,-16685116.0,0.7510706243154104,1.2606553463024512,0.0,-0.06599773159671388,0.003306069758638117,0.6461695919207229,0
