ticker,date,open,high,low,close,volume,log_return,high_low_pct,open_close_pct,gap_pct,sma_10,sma_20,ema_20,dist_sma_20,sma_20_50_cross,rolling_std_20,atr_14,parkinson_vol_20,bb_width_20,rsi_14,macd,macd_hist,momentum_10,vol_ma_ratio_20,obv,skewness_20,kurtosis_20,hurst_proxy_20,autocorr_lag1_20,market_return,rolling_beta_20,cluster_id
MU,2015-03-16,28.249721077632756,28.532511728999083,27.51836825366297,27.801158905029297,18183900.0,-0.007338973141979851,0.036478460428060314,-0.015878463762951354,0.008704570335206193,27.899648094177245,29.236074256896973,28.67732453347284,-0.049080301916334335,-0.42740242004394347,0.018794819588254387,0.9006098936303673,0.018863452933725346,0.20732037861569494,32.17664199220515,-0.7264462331856691,-0.14557601345685134,-2.662130355834961,0.8437601358264543,-278245800.0,-0.7063470469668803,0.45711612300635557,0.19067818166836661,-0.20131617971122634,0.013804981966692982,1.3220832167283212,3
MU,2015-03-17,27.040555069944322,27.284339378602155,26.777267570211464,26.9722957611084,24932400.0,-0.03026745076001588,0.018799727420082842,-0.0025243309034935647,-0.02735870967405535,27.70462112426758,29.00837993621826,28.514940840866704,-0.07018951692182664,-0.5168223953247058,0.018907091046264052,0.9340429957788279,0.018858023572275014,0.20615889700189546,29.56522762214749,-0.77200982879382,-0.15291168725200166,-1.9502696990966797,1.1434897985578643,-303178200.0,-0.4965644975686337,0.05947241228896966,0.01096592346995319,-0.20187904858680356,-0.0035689262364085772,1.3376555820284042,3
MU,2015-03-18,27.31359155613392,27.64513833303231,26.913785476919955,27.459861755371094,24544800.0,0.01791510962801692,0.026633522861890194,0.005355216610126519,0.0126535686115989,27.59638080596924,28.812864971160888,28.41445711843855,-0.046958302018020315,-0.6027320289611815,0.019758724023060788,0.9437944606625491,0.019098734596570438,0.19768401570275995,33.05786105095986,-0.7600158163656481,-0.11273413985906378,-1.0824031829833984,1.0950851268872466,-278633400.0,-0.5013769388667823,-0.1996998564965863,0.12443466918654535,-0.2650403245073376,0.011412973185250518,1.4282826242265731,3
MU,2015-03-19,27.401358077857633,27.5281251065277,27.225833068986184,27.35260009765625,21656600.0,-0.00391377402163,0.011051674661704345,-0.0017794001321047464,-0.0021305160978101873,27.476439476013184,28.62953929901123,28.313327878364046,-0.04460215679939568,-0.6920547103881844,0.01973379869943905,0.9242918096981244,0.019049737330195368,0.18994835171482938,32.10386192370828,-0.7505141346927324,-0.08258596654891848,-1.1994132995605469,0.9488155030826007,-300290000.0,-0.5638712729858949,-0.13439899430815525,0.09954862040680722,-0.24033415854238382,-0.004101467678255667,1.3985845212236399,3
MU,2015-03-20,27.61588611275238,28.044947015613413,27.411108186796437,27.966936111450195,23608200.0,0.022211367350918918,0.02266386371622712,0.012711886091121597,0.009625630256579937,27.493992042541503,28.46620378494263,28.28033818627701,-0.017538962240589807,-0.7886909294128408,0.02056140116831931,0.9159329004808152,0.019009725289389465,0.17131854493872625,32.655788860720975,-0.6855100680686448,-0.014065519939864601,0.17552566528320312,1.0185292843024296,-276681800.0,-0.48289243165733015,-0.3152418628227788,0.2823230618754037,-0.1991364941994165,0.010733243737322604,1.4938115574444601,3
MU,2015-03-23,27.76215193873593,27.801158314617286,27.12831321007487,27.323341369628906,18699400.0,-0.023281627141058248,0.02462528631450831,-0.01580607187502275,-0.007322367094421313,27.431583404541016,28.30140552520752,28.189195632310525,-0.034558854483812934,-0.8432986831665019,0.02069747750807807,0.8462800469435149,0.019099521358852446,0.16006579946236688,37.30648243935156,-0.6781097665788991,-0.005332174760095065,-0.6240863800048828,0.7984273465443849,-295381200.0,-0.46357965180965854,-0.3962883525222059,0.11294764472354141,-0.28343394816346745,-0.0023151357544372087,1.5074574006645782,3
MU,2015-03-24,27.411105508768667,27.645138198393646,27.186822553775723,27.264833450317383,15670800.0,-0.0021436123082891317,0.01680977238628573,-0.005336233460234956,0.003212057337808424,27.4657133102417,28.1643985748291,28.10116113878737,-0.031939795263239625,-0.8716753768920924,0.020418591360423004,0.8135433468905572,0.01659660403384213,0.15340184310251861,39.31481151862787,-0.6692513613501987,0.0028209843748843166,0.34129905700683594,0.7304174679718732,-311052000.0,-0.6076310219015255,-0.12391490887801984,0.09641883938661433,-0.2970781665472704,-0.005365344216388848,1.4758616561409834,3
MU,2015-03-25,27.16732110412055,27.17707269863583,25.743619923640107,25.909393310546875,35874000.0,-0.05099214076960565,0.05532560169438446,-0.04630297511814116,-0.0035764878730883244,27.337970352172853,27.973759174346924,27.892421345621607,-0.07379651230268655,-0.9630458259582504,0.02277370285810437,0.8616035952957538,0.017948667597539263,0.16103570056079103,31.95738242604199,-0.7628104981886032,-0.07259052197081606,-1.2774295806884766,1.6008357153168429,-346926000.0,-0.5970376303904353,-0.5430748121932437,0.0,-0.27414827753869486,-0.014542188070309275,1.7013350177245838,3
MU,2015-03-26,25.119533084461686,26.49447631044984,24.97326288466164,25.997156143188477,44702400.0,0.003381573893706201,0.058514608937394415,0.03493787306581297,-0.030485477472128313,27.20535182952881,27.78068208694458,27.711919897770834,-0.06420022148960346,-1.0746013832092274,0.022744114112882224,0.9082710800537368,0.01944405955991138,0.1608319391242833,36.51024289154073,-0.8204177954075256,-0.10415825535179057,-1.3261852264404297,1.8705447491250853,-302223600.0,-0.5925500204563889,-0.5368196311403758,0.019272032871713862,-0.303439691434249,-0.003077493167094138,1.6764493618720402,3
MU,2015-03-27,26.260443064118757,26.46522096752826,25.402321352877543,26.016658782958984,30909000.0,0.0007499023369904892,0.04085457794981635,-0.009283327035713142,0.010127527775735742,27.006423568725587,27.586142349243165,27.550466458264943,-0.05689391237982575,-1.2034168243408203,0.02272804392820135,0.9235946201540318,0.020045049274311222,0.15438144923190972,35.179663852008915,-0.8546464610485565,-0.1107095367942571,-1.9892826080322266,1.2533577876444764,-271314600.0,-0.5881470624192829,-0.5344559923102875,0.023554660305553737,-0.32793748818008944,0.0033060541347498767,1.693221426620457,3
