ticker,date,open,high,low,close,volume,log_return,high_low_pct,open_close_pct,gap_pct,sma_10,sma_20,ema_20,dist_sma_20,sma_20_50_cross,rolling_std_20,atr_14,parkinson_vol_20,bb_width_20,rsi_14,macd,macd_hist,momentum_10,vol_ma_ratio_20,obv,skewness_20,kurtosis_20,hurst_proxy_20,autocorr_lag1_20,market_return,rolling_beta_20,cluster_id,weight
MSFT,2015-03-16,35.442954601006626,35.58824606970268,35.28056618271354,35.519874572753906,35273500,0.004340369751454447,0.008662189565796603,0.002170247164535009,0.0021748357027785033,36.12071342468262,36.798462104797366,36.4377409689994,-0.03474567844859243,-0.5649743270873984,0.009397026428201493,0.5500377761594945,0.008628624549337051,0.09236598998761221,24.130565135016056,-0.4879553185727019,-0.15663757233455627,-1.982818603515625,1.0465865807207733,-262156300.0,-0.8478600597331455,0.17741855138183107,0.17251779230237382,-0.3610266817576397,0.0077417883381081685,0.4044546387961482,1,0.28622960828152777
MSFT,2015-03-17,35.357500528150624,35.75064902151004,35.16947638988919,35.63954162597656,31673400,0.003363354350634368,0.0163069614518887,0.007976839242966778,-0.0045713574880648445,35.98567657470703,36.71812343597412,36.36172198394961,-0.02937464414772039,-0.564469108581541,0.009464361020004216,0.5738462710701293,0.00854818867337277,0.09592626897581191,26.774723022081062,-0.49096302464055697,-0.12771622272192906,-1.3503684997558594,0.9425973133949916,-230482900.0,-0.869992885749465,0.145715868551294,0.21725149328208507,-0.3323208051835575,0.005122736595987121,0.4329468156347925,1,0.9789298808210255
MSFT,2015-03-18,35.40877000300337,36.60530226630405,35.323304810033946,36.32326126098633,44194800,0.019002600834131227,0.03529411763734213,0.025826688067592446,-0.006475156874772806,35.93781509399414,36.6741081237793,36.358059057953106,-0.009566609268674125,-0.5486129760742173,0.010602324013530427,0.6446613550637349,0.009750752411989572,0.09565440296372255,36.21890787693946,-0.4331827320189703,-0.05594874408027384,-0.47861480712890625,1.28262908372795,-186288100.0,-0.46243628913701207,0.13038691351749557,0.47283821396096887,-0.23203303299234965,0.014792540041359992,0.5655103249987246,1,1.0
MSFT,2015-03-19,36.11816046233939,36.40020162562136,36.08397632217881,36.143802642822266,33879100,-0.0049528427219069525,0.008749087816797578,0.0007099525598075201,-0.005646541404233187,35.86773338317871,36.62240200042724,36.3376536850835,-0.013068486263372602,-0.5483996963501028,0.010635314913884796,0.634283167962859,0.009707365990914431,0.09570394897109091,36.21910781065653,-0.3972925038411361,-0.016046812721951687,-0.7008171081542969,0.9743717321154319,-220167200.0,-0.39418066087264353,0.044020887648881624,0.40575334851979783,-0.2501240204812739,0.00015747952171707436,0.6037366322442856,1,1.0
MSFT,2015-03-20,36.37455198377117,36.733509801826536,36.314725680761946,36.64804458618164,71904500,0.013854573781711533,0.011427188699399887,0.007518789577320544,0.006384202105937743,35.9121753692627,36.58052310943604,36.367214723283325,0.0018458313601788926,-0.5385998916625994,0.010976039243424194,0.6373347534205445,0.009659150860787285,0.09321822262256003,41.961482791758634,-0.3244214007689621,0.0454594322801779,0.44441986083984375,1.949721483853981,-148262700.0,-0.32570719513708923,-0.11414603197206744,0.5942480737446034,-0.30791664198831387,0.006085619957840405,0.6275241901265842,1,1.0
MSFT,2015-03-23,36.6480446229383,36.86171092255384,36.56257614691869,36.630950927734375,26246100,-0.00046653638296847294,0.008166175542197226,-0.0004664285741608762,1.0029637420770765e-09,35.9130298614502,36.52539710998535,36.39233245704057,0.002889874609775868,-0.5186229705810561,0.01082837000873894,0.6104752180661102,0.009579682800571558,0.08854412863153621,46.276564513152984,-0.2649951429017321,0.08390855211792636,0.008544921875,0.7177785432181247,-174508800.0,-0.2511115216883276,0.008878719191633163,0.5993501136625977,-0.28890638907635535,0.0018539043365339847,0.6310522253694607,1,1.0
MSFT,2015-03-24,36.562572269584464,36.89589113999116,36.536933359642,36.66513442993164,25513300,0.000932751169693028,0.009790166757392835,0.0028051133701127513,-0.001866690774280149,35.987386322021486,36.47454490661621,36.41831359731591,0.005225274880087862,-0.5018447875976548,0.01084123616033576,0.6116954867755585,0.009599771264005096,0.08363343011593864,48.534832113462635,-0.21268933222760467,0.10897149023364305,0.7435646057128906,0.6975074919045874,-148995500.0,-0.2848613557073193,0.006188975921753553,0.6184194274799009,-0.28751677580417184,0.005214950248251781,0.6320343255246536,1,1.0
MSFT,2015-03-25,36.68221626292935,36.69076473776509,35.41731259113398,35.43440628051758,43469900,-0.034143011025655354,0.03593829500600091,-0.03401675550701742,0.00046588764130552735,35.9429428100586,36.36642894744873,36.32460813857321,-0.025628655153952167,-0.527729682922363,0.013025569628279237,0.6770162755855681,0.010671121264743656,0.08230664414561213,37.95596043193555,-0.26746293028828205,0.04335831373837251,-0.44443511962890625,1.1665600381286474,-192465400.0,-0.6497416088101982,0.3737303103156073,0.14472996408817418,-0.2652345463032624,-0.022865114910213792,0.8308822859923725,1,1.0
MSFT,2015-03-26,35.22930882521978,35.56262780951596,34.97290659703217,35.220760345458984,37495600,-0.006047585658774735,0.01674356846735096,-0.00024265249712339987,-0.0057880878170819584,35.95918159484863,36.24463958740235,36.21947977732423,-0.028249121892682406,-0.5670883178710895,0.012999448445566874,0.6605336512611945,0.010855477973380045,0.08002672573793629,40.94477180043181,-0.3243716879155585,-0.010840355111123134,0.16238784790039062,0.994835930314576,-229961000.0,-0.5591420053777288,0.31646203747684193,0.06643475573822075,-0.1910804335215867,-0.002726273030729853,0.8507011409546268,1,0.9999995698894919
MSFT,2015-03-27,35.14383427581478,35.40878167783834,34.895983830367996,35.0156364440918,34401400,-0.005840974022782837,0.014644824409879369,-0.003647804353969726,-0.0021841115549375094,35.924141311645506,36.121568298339845,36.1048280313021,-0.03061693902124144,-0.6104156494140582,0.013008059164248072,0.6397772509987399,0.010906614232003568,0.07903825646567271,34.58999615159985,-0.3816249381552197,-0.05447488428062747,-0.35040283203125,0.9120220827615751,-264362400.0,-0.544840078018179,0.29527966031589076,0.0,-0.1869420796572377,-0.0024730007236319906,0.8732007787622998,1,0.9852030467871078
