ticker,date,open,high,low,close,volume,log_return,high_low_pct,open_close_pct,gap_pct,sma_10,sma_20,ema_20,dist_sma_20,sma_20_50_cross,rolling_std_20,atr_14,parkinson_vol_20,bb_width_20,rsi_14,macd,macd_hist,momentum_10,vol_ma_ratio_20,obv,skewness_20,kurtosis_20,hurst_proxy_20,autocorr_lag1_20,market_return,rolling_beta_20
IBM,2015-03-16,93.31445670702102,94.54219938518027,93.16400265998386,94.53618621826172,3922082.0,0.01798582701662644,0.014578509884188396,0.013092607023117056,0.004990599109056394,95.38178482055665,96.57582588195801,95.58839543506998,-0.021119567397635177,1.7139084625244152,0.012074864036747441,1.69717237122216,0.010073561625954582,0.06771480598537326,35.653321555980995,-0.2898335087334374,-0.45108702683768775,-2.0462570190429688,0.8516467299474149,-14350178.0,-0.22853764804378265,-1.1041543883833524,0.265398498063186,-0.5978780081390498,0.01370746771091987,0.9791098715172668
IBM,2015-03-17,94.00657182408388,94.66257379184555,93.50705629060985,94.4639663696289,3464038.0,-0.0007642306226627776,0.012232362726695784,0.004865559254739752,-0.005602239897377355,95.13683776855468,96.45545768737793,95.48130695264702,-0.020646745819232457,1.6413397979736288,0.01202941562000687,1.6773969681834586,0.01011052720520542,0.07047197631556879,38.35114970905136,-0.3365247967107763,-0.3982226518520213,-2.4494705200195312,0.7486393725917617,-17814216.0,-0.175170760543382,-1.0864038931124882,0.25402415655766414,-0.5775547519653743,-0.0035534716726166662,0.9643692280459741
IBM,2015-03-18,94.39779473308471,96.71486287114641,93.7658740450327,96.17922973632812,6002785.0,0.017994973728267055,0.030661389514121205,0.01887157436548733,-0.0007004960630731295,95.16031036376953,96.38384017944335,95.54777578918808,-0.002122870833267212,1.5527359008789006,0.012649553496789952,1.700181028934733,0.010825956887335338,0.06964293688052019,47.96314439933526,-0.23244112360349334,-0.2353111829957907,0.2347259521484375,1.2773767381194414,-11811431.0,-0.09997687933443739,-1.1487657572442709,0.5241713761114293,-0.595589296770999,0.011200248906518733,1.039299532890394
IBM,2015-03-19,96.11302724062912,96.84726786254441,95.57739410581084,96.17922973632812,4057016.0,0.0,0.013203201566646842,0.000688798361675337,-0.0006883242450630363,95.07786102294922,96.26106605529785,95.60791426034427,-0.0008501497263983076,1.3718585968017578,0.012377740929581866,1.6993213291626421,0.010678289628779201,0.06617017960525357,45.7314882795729,-0.14824518457524505,-0.12089219517403393,-0.824493408203125,0.8597417773530394,-11811431.0,-0.008157841094367844,-0.9957188405074284,0.5241713761114293,-0.5609331243676984,-0.004141554123404431,1.0407048735848201
IBM,2015-03-20,96.8653299186945,98.09909600781646,96.50423233441633,98.02687072753906,9420694.0,0.019028204930810574,0.016269658120914347,0.01199129564540297,0.007133558713739889,95.34146499633789,96.2378963470459,95.83829106674378,0.01858908442929688,1.2414400482177825,0.013190023975710492,1.7448894142798639,0.010744479645583711,0.0648945499346469,54.51815337150406,0.06679986307426589,0.0753222819803816,2.6360397338867188,1.8786718086765968,-2390737.0,-0.05228585264010129,-1.1839984284748915,0.815167549760093,-0.5204522826153711,0.01034180560580032,1.1607019675210182
IBM,2015-03-23,97.9606303250336,99.51336263245345,97.93654883948359,99.08003997802734,6202885.0,0.010686375929080687,0.015914545384918526,0.011427138119462221,-0.0006757371934229037,95.5737678527832,96.28965377807617,96.14702905829459,0.028979086438324118,1.2051663208007852,0.01336444172540797,1.7822898861466874,0.010844701326795495,0.06811029252758842,56.48416183176128,0.3185346997266407,0.26164569490620515,2.323028564453125,1.1968370808650644,3812148.0,-0.20711821087932056,-1.2418890244775525,0.981037555651044,-0.41284683235925945,-0.00211870203239217,1.1361320069780592
IBM,2015-03-24,99.17636238615172,99.23655171265302,98.03890322597769,98.09908294677734,4546021.0,-0.00994998973287767,0.012208559455393746,-0.01086226005325643,0.0009721676348307946,95.88612213134766,96.23458595275879,96.33293895243581,0.01937450008808503,1.0899340057373053,0.013289537026421118,1.7685347836746337,0.010586354304161149,0.0645453248674454,56.44353948491842,0.4338798404830584,0.30159266853009825,3.1235427856445312,0.880305760187132,-733873.0,-0.0017397210887296034,-1.253105624285532,0.8425168675531498,-0.40594600003722586,-0.005284830916773228,1.1445975662339738
IBM,2015-03-25,98.14720474227127,98.14720474227127,95.81208801269531,95.81208801269531,5678629.0,-0.023589161690545087,0.024371838439284924,-0.023791984047919,0.0004905427660321229,96.03056182861329,96.12595443725586,96.28333410103195,-0.0032651579523760525,0.9349636840820352,0.014015660136889492,1.845914262241347,0.010895801873122621,0.06237897142535107,46.680069106596584,0.3368671230807223,0.16366396090220972,1.44439697265625,1.0839913378107766,-6412502.0,-0.0882281671956829,-1.248015798203051,0.47536202695954705,-0.3607161445515676,-0.014455694380276864,1.2254838178116654
IBM,2015-03-26,95.85421572304541,97.04585073771361,95.63754957181526,96.64863586425781,4598216.0,0.008693234682138895,0.01457135067975815,0.008287795536377261,0.0004396909745304705,96.18764038085938,96.11752815246582,96.31812474514871,0.005525607264364134,0.867890853881832,0.01393156089823316,1.801207230093431,0.010461391417709683,0.062233769237190414,53.66272526150262,0.3237542286812669,0.12044085320220344,1.5707855224609375,0.9022044097652505,-1814286.0,-0.28929776686968245,-1.1410960569869733,0.6096616655429764,-0.3741220364001013,-0.0031420755333365262,1.2256321788334652
IBM,2015-03-27,96.76902469530029,96.83522718776514,95.83016346292727,96.53430938720703,3637883.0,-0.001183608524540394,0.010411466464285509,-0.002425521067638252,0.0012456340430046107,96.55596389770508,96.07118721008301,96.33871375867807,0.004820614698049805,0.7531174468994237,0.013844726393244017,1.7461823134812176,0.010404617709369568,0.061024580335050635,49.30049250695434,0.30067102574111004,0.07788612020963723,3.6832351684570312,0.7206730423123169,-5452169.0,-0.20694376043538057,-1.11972020883922,0.5913076592302968,-0.361699632890255,0.003404726232393271,1.2198222623703148
IBM,2015-03-30,97.08195962774681,98.46015654748545,97.04585180404477,97.90045166015625,4328348.0,0.014052680162907958,0.014446355654723481,0.008430938513683506,0.005673115020102448,96.89239044189453,96.13708763122558,96.487450701676,0.018342182734875374,0.7085605621337834,0.014052366861935723,1.7564948783267187,0.01043406620385339,0.06318268870972255,59.43327608352239,0.3881394551743256,0.1322836397142822,3.3642654418945312,0.8735652584388314,-1123821.0,-0.39503724988899436,-1.0822189139260237,0.8106285422711603,-0.3531440355900871,0.0119416871068143,1.2863137231749981
IBM,2015-03-31,96.94355928647666,97.6958586575114,96.53431795749017,96.59449768066406,4451148.0,-0.013429383241859147,0.012024915786209768,-0.0036006683515826593,-0.009774136456502498,97.10544357299804,96.12114067077637,96.49764565205581,0.004924587937517129,0.6389946746826212,0.01438190213792002,1.7165133171972786,0.010455409529157782,0.06290507626127759,56.872324033732475,0.34806694476880295,0.07376890344700765,2.1305313110351562,0.8887709224988671,-5574969.0,-0.22957724091121975,-1.3270342502494126,0.6009703055967118,-0.3828634919091214,-0.008320976762830654,1.3352062132910174
IBM,2015-04-01,96.43194824037577,96.66666342476432,95.32456517031035,95.80001831054688,3871037.0,-0.008258903658851782,0.014009373673639658,-0.00655311793819294,-0.001682802273331004,97.06752243041993,96.11391639709473,96.43120495286448,-0.003265896327135202,0.5917696380615212,0.014322803942895219,1.7070564691762584,0.01050927515055139,0.06296113340444265,52.21720016640245,0.24932725672357492,-0.01997662767857633,-0.37921142578125,0.772396793779829,-9446006.0,-0.2443738888161956,-1.2922335195105246,0.4734243534202305,-0.3209018833870009,-0.0038589314473645928,1.3316546521175863
IBM,2015-04-02,96.00464159666188,97.82218343767391,95.6254855490524,96.56434631347656,4886494.0,0.007946711197881073,0.022748539937197734,0.005829975587702625,0.0021359420355401048,97.10603408813476,96.09194755554199,96.44388508244658,0.0049161118069911075,0.4564225006103584,0.014214807137199527,1.6670780305699233,0.010838905104624144,0.06254064472001804,62.52525866000171,0.23009780043497585,-0.03136486717374032,0.3851165771484375,0.9661418900676874,-4559512.0,-0.2310646541469609,-1.2553977482306664,0.5961297962241586,-0.2999807237410836,0.0014181295200167954,1.3258328481089892
IBM,2015-04-06,96.1070093929199,97.97871887612963,95.51119650678439,97.52132415771484,3625122.0,0.009861476092567883,0.02530238786908476,0.014716041771861945,-0.0047360846732395915,97.05547943115235,96.19847221374512,96.54649832771024,0.013751278097540417,0.46987419128417685,0.013827195521998712,1.7225349736352789,0.011006404302667161,0.063428782011327,60.58934970175268,0.28874990287818036,0.021829788215571355,-0.5055465698242188,0.7248007047584903,-934390.0,-0.45025153199501,-0.9770681083855742,0.7497633013171406,-0.22718990398823355,0.0076378636706138535,1.3578953542189263
IBM,2015-04-07,97.29861438534293,98.60459563364715,97.268519729962,97.53935241699219,3292808.0,0.00018484770631644872,0.013697813965108921,0.0024742184991025174,-0.0022837033263795733,96.90141067504882,96.23758926391602,96.6410558600228,0.013526556130851235,0.4212940979004003,0.013477813729303786,1.7354320023816692,0.01087849196870643,0.06443810935143156,60.95159797800101,0.33284995934580763,0.052743875746558866,-1.5406875610351562,0.6727509124141652,2358418.0,-0.36523578136139,-0.8831787051717246,0.7526575633736546,-0.16488499512077187,-0.0018398957662466814,1.3318091203914486
IBM,2015-04-08,97.32872110456266,98.43008188646746,96.90142113140575,97.4069595336914,2640418.0,-0.0013582498928006977,0.015693547590231168,0.0008038575688741681,-0.0021594495678939236,96.83219833374024,96.35916023254394,96.71399906703887,0.010873894071085775,0.4636733245849598,0.012738245692829931,1.6339799973065265,0.01088958444775914,0.06398869937892135,54.92749957590452,0.3530468680603036,0.05835262756884385,-0.6921234130859375,0.5517041281328908,-282000.0,-0.46524153346968805,-0.4437079148494393,0.7314031708782306,-0.22652941744973407,0.0027008640073919636,1.3699066368290056
IBM,2015-04-09,97.31668153393166,97.78008931732516,96.7268819504036,97.70185089111328,2367621.0,0.003022842293273466,0.010779809771417199,0.003957896540556885,-0.0009268126239842598,97.02117462158203,96.52586822509765,96.8080801931412,0.012183083018463449,0.5131382751464884,0.012610465626334012,1.618503826605669,0.010642226843939869,0.0619247853769761,55.969738067732784,0.3883714276958017,0.07494174976347356,1.8897628784179688,0.5140649560342225,2085621.0,-0.5905156283644158,-0.22900422824316183,0.7787451162901552,-0.21549959064466662,0.004593309717286935,1.3502037233043476
IBM,2015-04-10,97.70184733194363,98.29766966764437,97.04585489385639,98.01480102539062,2631422.0,0.00319799463079902,0.012771691221040209,0.0032031502166354575,-3.6428886693798505e-08,97.15779113769531,96.67271575927734,96.92300598668876,0.013882771944207967,0.511144104003904,0.012544284066060927,1.5707858624842157,0.010576161992628355,0.0616036039122091,49.94620452888497,0.43658616259250493,0.09852518772814145,1.3661651611328125,0.5849702797834726,4717043.0,-0.547919689350738,-0.21077573663076427,0.8289862230595781,-0.18750142806754747,0.005040852146038439,1.4104229083470883
IBM,2015-04-13,97.71990846275193,98.70090016585208,97.71388568894463,97.72592163085938,4046869.0,-0.0029516556426687113,0.010099822651309466,6.153472922803483e-05,-0.0030086533824855923,97.27695236206054,96.91645812988281,96.99947414327644,0.00835217791277265,0.6587968444824241,0.011153540445338776,1.5286573399083292,0.010050336291018376,0.04959297581833675,43.52335085136771,0.44634138880145713,0.08662433114967488,1.1916122436523438,0.9231887986997286,670174.0,-0.43033930991823105,0.0855199284752141,0.7066514815164961,-0.04295792091671896,-0.005663403784227824,1.2882461922773456
IBM,2015-04-14,97.74999777521151,97.94258244101623,96.76900612575407,97.67777252197266,2844388.0,-0.0004928167818930674,0.012014773524838073,-0.0007388772878025666,0.00024636395288324213,97.25468444824219,97.07353744506835,97.06407398886655,0.0062245086849361505,0.6948112487792883,0.010550228947583442,1.526937899093102,0.009987038230948304,0.044191569372345973,47.78747730263105,0.44505690619016036,0.06827187883070246,-0.22267913818359375,0.6569492551213977,-2174214.0,-0.4011193646527196,0.4106292457315863,0.6962207317349481,-0.020097589673870604,0.001978849723558386,1.2933243807456283
IBM,2015-04-15,97.87638339758028,99.27866185734858,97.79814497381594,98.77913665771484,3659745.0,0.01121238930947551,0.014988153709652946,0.0092234023039809,0.002033327239960863,97.47314834594727,97.28929595947265,97.22741329066163,0.01531351094228091,0.7836141967773358,0.01074459433889183,1.4744930852216709,0.010054442983982807,0.03891480594570608,67.79785435577128,0.5268367792896242,0.12004140154413306,2.1846389770507812,0.8433607599458778,1485531.0,-0.5244671088811164,0.29739698488633454,0.9082617860795246,-0.010937179467749593,0.004922387776291592,1.323095810468834
IBM,2015-04-16,98.28567840538031,98.68890664710842,97.82226082250519,98.1773452758789,3281197.0,-0.006110926115986078,0.008827350364465034,-0.0011022270106798497,-0.004995571626065574,97.71088104248047,97.38920173645019,97.31788300353946,0.008092719987186582,0.814140853881824,0.010215027410498513,1.442248418743907,0.009230510083959602,0.03813326760662085,59.435715301539226,0.5368993413802059,0.10408317090777175,2.3773269653320312,0.7806058243758285,-1795666.0,-0.4642084088370054,0.38067271775236133,0.7247900163751851,-0.03676252372961688,0.0007094427981435637,1.2893645970946714
IBM,2015-04-17,97.34677193203926,97.412974419831,96.31162322420579,96.69679260253906,4512862.0,-0.015195255533965595,0.011389738645750012,-0.0066769479521515945,-0.008459928729033464,97.72412567138672,97.41507987976074,97.25873153677752,-0.007373471110512434,0.7822022247314493,0.010836483802126446,1.5037240135178536,0.00918652148458348,0.03694337035046707,50.858166585136075,0.42055783812057257,-0.009806665881489318,0.1324462890625,1.0678321670958337,-6308528.0,-0.3503362376437946,-0.24730883944165694,0.2734049894088017,0.03434132581809636,-0.01384943048114744,1.2789791935163368
IBM,2015-04-20,97.5574195819989,100.28975160014348,97.43706014959677,100.00086975097656,10051223.0,0.03359865008718086,0.028526666394507457,0.025046277150902862,0.008900263972532624,97.97208023071289,97.51377983093262,97.51988755717743,0.0255050099007136,0.7683589935302706,0.012583992943504896,1.62280343046971,0.009724401942286935,0.043632388376111636,59.20847013617402,0.5881875116458417,0.1262584061150238,2.4795455932617188,2.360707269210578,3742695.0,0.5179604342875392,1.5032273631846496,0.9999999976195302,-0.28533748114317836,0.009057529997224121,1.4359853248049976
IBM,2015-04-21,99.94666812846235,100.73507496536936,98.73097104792883,98.85735321044922,10129046.0,-0.011500949048576594,0.02027268435130122,-0.01089896180043765,-0.0005420115109917246,98.1038803100586,97.50264549255371,97.6472652384414,0.013894061141130443,0.6664685821533141,0.012663833911870787,1.6683727315250283,0.009861332092977742,0.0429721141967952,60.063953918432965,0.6215976171674953,0.1277348093093419,1.3180007934570312,2.274133248268698,-6386351.0,0.7185155087850045,1.6690782288108033,0.7277893388945286,-0.32786172593768875,0.00039097678856176555,1.4546873284733466
IBM,2015-04-22,98.93560193896921,99.90455756791117,98.03284878437289,99.51937866210938,4209941.0,0.006674451212950532,0.018807480600267337,0.005900572814023793,0.0007915316967208058,98.31512222290038,97.57366027832032,97.82556175498121,0.019941020745138243,0.6218113708496134,0.012526498116533604,1.7062020550310504,0.01005174850326077,0.04651103980734265,66.7389094904546,0.6935010393790861,0.1597105852167462,2.1124191284179688,0.9487787834585697,-2176410.0,0.5588742314816998,1.660405898507163,0.8853824981557161,-0.48491337572196996,0.005594366575301958,1.431488279876865
IBM,2015-04-23,99.44115384298394,103.4614081916616,99.38698730150476,102.45634460449219,8614438.0,0.029084415932569895,0.039767384888511836,0.03032135735541837,-0.0007860259999314207,98.79057159423829,97.90587310791015,98.26658869302987,0.04647802376029662,0.8134356689453028,0.012743334222554673,1.8403251265692881,0.010940373051864195,0.0614534163662542,72.17944918126196,0.9762203651266503,0.3539439287714483,4.754493713378906,1.87923576889961,6438028.0,0.8947165392409702,0.9809358398017297,0.9999999984976699,-0.36583787098566795,0.00027255265605924167,1.3331388772053094
IBM,2015-04-24,102.45035043463189,102.82348391467083,101.5536101584307,102.17952728271484,4067266.0,-0.002705463984122449,0.012427868771858648,-0.0026434575457098155,-5.8504623441722896e-05,99.2070442199707,98.182417678833,98.63924951109512,0.04071105293981337,0.9505947113037081,0.012749655502086846,1.7547787970617799,0.010891424016370738,0.07126769466933758,68.48141022458836,1.1645167984893305,0.43379228970730277,4.164726257324219,0.8924406596493427,2370762.0,1.0322335499510222,1.185826073677293,0.9584128963729934,-0.3638393137820281,0.0004458722249542924,1.411520084456063
IBM,2015-04-27,102.84750821176564,103.20861518625962,102.49242400941029,102.751220703125,3314356.0,0.005579396055302874,0.006970147624022862,-0.0009362162517577411,0.006537326476394823,99.70957412719727,98.4932632446289,99.03086581509795,0.04323095121663858,1.1144723510742125,0.01272651913588959,1.7328510827660384,0.010841333374216094,0.08034632557432254,69.80785111505969,1.3443768205755617,0.4909218494348271,5.025299072265625,0.7298273972945711,5685118.0,0.9515452523468038,1.0886519196607574,0.9999999985614,-0.35941183316722863,-0.003733741644456782,1.369705844632351
IBM,2015-04-28,102.81140880895671,105.1344892304649,102.32391963663265,104.67108154296875,6084268.0,0.018512143069255197,0.026851443134066292,0.018088194253496368,0.0005857653604487327,100.40890502929688,98.83179473876953,99.56802921775231,0.05908307968739735,1.2902684020996134,0.012969817403724214,1.8244159998210765,0.011269451721690336,0.09733364337479783,74.3052332720165,1.623123550795043,0.6157348637234468,6.993309020996094,1.3143569489981866,11769386.0,0.905032587187698,0.7803925406672262,0.9999999988727393,-0.290660946450792,0.00207555788265326,1.488342596998036
